Date,NSE Adj Close,Dow Jones Adj Close,Norm GDP,Brent Crude Price,CPI,IIP,Central Bank Rates,USD INR Rate
1996-05-01,1137.80,5575.22021484375,100.928058309031,19.3191304347826,27.1966359561747,34.9560887660735,12.0,34.8
1996-06-01,1089.90,5643.18017578125,100.835624520635,18.5775,27.6112188213835,34.5135674248064,12.0,35.23
1996-07-01,1109.00,5729.97998046875,100.743785262526,19.7147826086957,28.1087182595728,34.1142114705952,12.0,35.1
1996-08-01,1036.60,5594.75,100.653024573249,20.6059090909091,28.4403845517246,34.920562800184,12.0,35.65
1996-09-01,1029.00,5616.2099609375,100.563376057352,23.0814285714286,28.5233011247816,34.5900715751364,12.0,35.85
1996-10-01,936.27,5904.89990234375,100.473959532284,24.2734782608696,28.6891342708575,35.1228008994297,12.0,35.85
1996-11-01,906.68,6021.93017578125,100.38369955614,23.102380952381,28.9378839899522,33.9593031309388,12.0,35.84
1996-12-01,830.32,6521.7001953125,100.292028819363,24.0363636363636,29.0208005630092,34.9965679751455,12.0,35.747
1997-01-01,939.55,6448.27001953125,100.199581373666,23.605652173913,29.0208005630092,34.6893581050493,12.0,35.95
1997-02-01,972.65,6813.08984375,100.108010933176,20.9205,29.0208005630092,35.479948798147,12.0,35.9
1997-03-01,1102.90,6877.740234375,100.019812294088,19.5595238095238,29.103717136028,36.0566575696505,12.0,35.91
1997-04-01,970.15,6611.0498046875,99.9381388097896,17.7754545454545,29.352466855161,36.0852595472825,11.0,35.89
1997-05-01,1079.80,6976.5,99.8662442535194,19.2454545454545,29.1866337090851,36.3349213080335,11.0,35.77
1997-06-01,1050.90,7331.0,99.8068990060232,17.8038095238095,29.4353834281798,36.6542798321793,10.0,35.8
1997-07-01,1200.40,7722.2998046875,99.761763784596,18.5565217391304,29.6841331473127,36.9270317216292,10.0,35.83
1997-08-01,1232.40,8194.0,99.7315431762759,18.8157142857143,29.7670497203315,36.8149059753617,10.0,35.8
1997-09-01,1104.70,7622.39990234375,99.7160639338566,18.5818181818182,29.9328828664074,37.3729701482142,10.0,36.48
1997-10-01,1114.70,8015.5,99.7142748978864,20.1326086956522,30.2645491585591,37.5502759587451,9.0,36.2
1997-11-01,1085.20,7442.10009765625,99.7246194623112,19.309,30.3474657315779,37.5835757092438,9.0,36.39
1997-12-01,1032.60,8013.10009765625,99.7453324902818,17.4178260869565,30.8449651698055,37.427395263204,9.0,39.45
1998-01-01,1081.20,7908.2998046875,99.77467045394,15.5104545454545,31.8399640462608,37.6105989397416,11.0,39.3
1998-02-01,963.45,7906.5,99.8111420295048,14.366,31.6741309001849,37.9829668289775,11.0,38.8
1998-03-01,1060.70,8545.7197265625,99.8536892766307,13.46,31.508297754109,37.4657629860641,10.5,39.45
1998-04-01,1150.10,8868.3203125,99.9018266069289,13.8090909090909,31.7570474732037,37.9349271552741,10.0,39.55
1998-05-01,1159.30,9147.0703125,99.9554290708814,14.5085714285714,32.2545469114313,37.9591848671403,9.0,39.82
1998-06-01,1053.70,8922.3701171875,100.014487224399,13.0595454545455,33.0837126418106,38.5407179818225,9.0,41.85
1998-07-01,942.25,9048.669921875,100.078828739441,12.5234782608696,34.0787115182659,38.3309110083967,9.0,42.35
1998-08-01,931.40,8883.2900390625,100.148364781238,12.1528571428571,34.2445446643417,38.4876574304026,9.0,42.6
1998-09-01,834.55,7827.43017578125,100.223300956736,13.6263636363636,34.8249606755881,38.4157145688481,9.0,42.65
1998-10-01,904.95,7632.52978515625,100.304313669809,12.8963636363636,35.9028761250622,37.6076125936429,9.0,42.5
1998-11-01,824.00,8592.099609375,100.392183969149,11.4419047619048,36.317458990271,39.4078837354393,9.0,42.45
1998-12-01,816.65,9133.5400390625,100.487394590869,10.16,35.5712098329487,39.0162086596883,9.0,42.61
1999-01-01,890.80,9181.4296875,100.58968573144,11.1866666666667,34.8249606755881,39.7001896310084,9.0,42.52
1999-02-01,940.15,9345.7001953125,100.697923328471,10.4295,34.4103778104176,39.3369421070489,9.0,42.55
1999-03-01,1015.80,9324.7802734375,100.809923160807,12.8852173913043,34.3274612373605,39.2139776726843,8.0,42.54
1999-04-01,1063.40,9832.509765625,100.922236270499,15.5009090909091,34.4103778104176,39.8323404662513,8.0,42.5
1999-05-01,978.20,10789.0400390625,101.030973114394,15.67,34.7420441025693,40.7837327106158,8.0,42.84
1999-06-01,1123.80,10596.259765625,101.132612964012,16.1318181818182,34.8249606755881,40.3636068312701,8.0,43.0
1999-07-01,1183.20,11066.419921875,101.22481654388,19.0322727272727,35.1566269677399,40.7924194876732,8.0,43.35
1999-08-01,1310.10,10655.150390625,101.305871716659,20.5977272727273,35.3224601138157,41.1175818002218,8.0,43.45
1999-09-01,1410.70,10937.8798828125,101.374173334646,23.1495454545455,35.5712098329487,41.0996612932937,8.0,43.55
1999-10-01,1403.20,10273.0,101.427746632081,22.1785714285714,36.2345424172139,40.7897191060902,8.0,43.73
1999-11-01,1270.00,10648.509765625,101.464283298769,24.8372727272727,36.317458990271,40.7809615327727,8.0,43.51
1999-12-01,1388.70,10998.3896484375,101.481238487889,25.6991304347826,35.7370429789863,42.1060486508649,8.0,43.45
2000-01-01,1480.40,11497.1201171875,101.475999458295,25.6333333333333,35.7370429789863,41.6420036404773,8.0,43.51
2000-02-01,1549.50,11041.0498046875,101.446655715077,28.0304761904762,35.6541264059675,41.0904163797154,8.0,43.62
2000-03-01,1712.70,10137.9296875,101.392853607974,27.494347826087,35.9857926981192,42.6038023647811,8.0,43.63
2000-04-01,1528.40,10921.919921875,101.316737641297,23.1535,36.317458990271,42.7752193285306,7.0,43.65
2000-05-01,1406.50,10811.7802734375,101.221878982934,27.8052173913044,36.4832921363468,43.0799161238902,7.0,43.67
2000-06-01,1349.00,10652.2001953125,101.112306249097,30.4831818181818,36.6491252824227,42.7511404375298,7.0,44.65
2000-07-01,1471.40,10447.8896484375,100.991628355469,28.8942857142857,36.8978750015174,42.8470671200199,8.0,44.7
2000-08-01,1326.80,10606.9501953125,100.863529645569,31.6291304347826,36.7320418554415,42.9288830533598,8.0,45.15
2000-09-01,1394.10,11238.7802734375,100.73230513084,33.3604761904762,36.8149584284986,43.4383767898296,8.0,45.8
2000-10-01,1271.60,10650.919921875,100.603417322746,31.3027272727273,37.2295412936691,43.320153248558,8.0,46.06
2000-11-01,1200.80,10899.4697265625,100.482685303483,32.8809090909091,37.3124578667262,43.7700488040634,8.0,46.82
2000-12-01,1276.20,10373.5400390625,100.375472893673,25.4757142857143,36.9807915745744,43.6887047757414,8.0,46.89
2001-01-01,1254.30,10787.990234375,100.285847107958,25.79,36.8978750015174,43.2470235793279,8.0,46.75
2001-02-01,1359.10,10983.6298828125,100.216214297569,27.8965,36.7320418554415,43.933428026353,7.5,46.41
2001-03-01,1358.00,10450.1396484375,100.166866890866,25.0345454545454,36.8978750015174,43.8035641582027,7.0,46.59
2001-04-01,1148.20,9878.7802734375,100.135424811171,26.0180952380952,37.1466247206503,43.9333207714571,7.0,46.85
2001-05-01,1125.20,10898.33984375,100.117821908725,28.4382608695652,37.395374439745,43.8144181705187,7.0,46.87
2001-06-01,1148.00,10990.41015625,100.109177509512,28.0038095238095,37.8928738779726,44.0394392514531,7.0,47.05
2001-07-01,1107.90,10502.400390625,100.10457822624,24.9913636363636,38.3903733162002,43.7432236028945,7.0,47.09
2001-08-01,1063.10,10510.009765625,100.098937282219,25.7360869565217,38.6391230352949,44.1493653069241,7.0,47.16
2001-09-01,1053.70,9949.75,100.086823499148,25.837,38.5562064622761,44.2625376122233,7.0,47.17
2001-10-01,910.10,8836.830078125,100.062283706047,21.0326086956522,38.8049561813707,44.4215078088618,6.5,48.03
2001-11-01,994.00,9263.900390625,100.019833118848,19.1054545454545,39.1366224735225,44.8781703089973,6.5,48.05
2001-12-01,1067.10,9851.5595703125,99.9554747392294,18.6814285714286,38.8878727544278,44.9191794100818,6.5,47.98
2002-01-01,1055.30,10021.5703125,99.8677659797321,20.0330434782609,38.7220396083519,44.8321680406802,6.5,48.27
2002-02-01,1081.60,9907.259765625,99.7574090100502,20.545,38.6391230352949,45.0908107844701,6.5,48.55
2002-03-01,1178.00,10368.8603515625,99.626926675725,24.0009523809524,38.8049561813707,45.3622187354108,6.5,48.76
2002-04-01,1138.90,10362.7001953125,99.4804223982011,25.9454545454545,38.8878727544278,45.9033663665462,6.5,48.83
2002-05-01,1084.50,10059.6298828125,99.3232269717,25.5495652173913,39.1366224735225,45.6996623264933,6.5,48.98
2002-06-01,1028.80,9925.25,99.1616075218973,24.368,39.4682887656742,46.1054579489608,6.5,49.06
2002-07-01,1068.90,9109.7900390625,99.0025170598366,25.8578260869565,39.8828716308448,46.6589082047072,6.5,48.86
2002-08-01,957.70,8506.6201171875,98.8533303212042,26.62,40.1316213499777,46.9569914530256,6.5,48.68
2002-09-01,1010.60,8663.5,98.7215636717023,28.3709523809524,40.2145379229965,46.8214768899366,6.5,48.52
2002-10-01,955.20,7938.7900390625,98.6145454364878,27.5226086956522,40.3803710690724,47.3122914857189,6.5,48.39
2002-11-01,951.45,8517.6396484375,98.538462488683,24.2504761904762,40.5462042151482,46.9710181117137,6.25,48.36
2002-12-01,1050.10,8896.08984375,98.4972864631798,28.3172727272727,40.1316213499777,47.5107510586293,6.25,48.36
2003-01-01,1100.10,8341.6298828125,98.4921060415203,30.8086956521739,40.0487047769206,47.7788203444244,6.25,48.0
2003-02-01,1041.80,8053.81005859375,98.5214021425684,32.6625,40.1316213499777,48.3927406772495,6.25,47.83
2003-03-01,1063.40,7891.080078125,98.5816691854883,30.1680952380952,40.3803710690724,47.9952867599526,6.25,47.66
2003-04-01,984.30,8069.85986328125,98.667827133065,25.035,40.8778705073,48.0994942952466,6.25,47.45
2003-05-01,934.05,8454.25,98.773795447978,25.7145454545455,40.960787080357,48.7896072563316,6.0,47.35
2003-06-01,1006.80,8850.259765625,98.8929089533511,27.5666666666667,41.2095367994517,48.958360048714,6.0,47.07
2003-07-01,1130.70,9040.9501953125,99.018209070435,28.5039130434783,41.5412030916034,49.601401784318,6.0,46.49
2003-08-01,1195.70,9153.9697265625,99.1428142254385,29.7180952380952,41.3753699455276,49.8420545187144,6.0,46.18
2003-09-01,1375.90,9415.8203125,99.2602317626545,27.0440909090909,41.3753699455276,50.1802738321321,6.0,45.88
2003-10-01,1420.80,9469.2001953125,99.3646428799843,29.435652173913,41.7070362376793,49.981431937697,6.0,45.7
2003-11-01,1555.90,9801.1201171875,99.4519480834235,28.9485,41.7899528106981,51.1582687750278,6.0,45.33
2003-12-01,1657.60,9899.0498046875,99.5208283618412,29.7434782608696,41.6241196646223,50.9215186389543,6.0,45.77
2004-01-01,1912.20,10453.919921875,99.5738336089419,30.9818181818182,41.7899528106981,51.6593498245525,6.0,45.55
2004-02-01,1809.70,10488.0703125,99.6155075593862,30.795,41.7899528106981,50.8563831496343,6.0,45.32
2004-03-01,1852.70,10678.1396484375,99.6505556736799,33.424347826087,41.7899528106981,51.5186134237392,6.0,45.32
2004-04-01,1819.60,10373.330078125,99.6820446740088,33.3577272727273,41.7899528106981,54.0119185655452,6.0,43.4
2004-05-01,1796.10,10225.5703125,99.7117635673616,37.5890476190476,42.1216191028499,53.6093286033894,6.0,44.52
2004-06-01,1507.90,10202.650390625,99.7405704421463,35.4377272727273,42.4532853950016,53.7300986596739,6.0,45.43
2004-07-01,1537.20,10334.16015625,99.7687159870684,38.2268181818182,42.8678682602104,55.4479279771216,6.0,45.88
2004-08-01,1632.30,10139.7099609375,99.7962193527384,42.2240909090909,43.2824511253809,55.7995793255822,6.0,46.4
2004-09-01,1635.40,10168.4599609375,99.8232152369789,43.3159090909091,43.365367698438,56.7222932202352,6.0,46.34
2004-10-01,1775.10,10192.650390625,99.8502728035166,49.7361904761905,43.6141174175327,56.8651225787041,6.0,45.85
2004-11-01,1797.70,10054.3896484375,99.8782551348143,43.7486363636364,43.5312008445139,56.8460792519067,6.0,45.33
2004-12-01,1962.00,10590.2197265625,99.9081539526333,39.965652173913,43.1995345523621,57.2419471867554,6.0,44.3
2005-01-01,2080.50,10783.009765625,99.9408963325175,44.1747619047619,43.6141174175327,57.1615336587643,6.0,43.27
2005-02-01,2059.80,10551.9404296875,99.9769604081733,45.721,43.5312008445139,57.8821385676405,6.0,43.66
2005-03-01,2084.40,10830.0,100.015956593047,53.2291304347826,43.5312008445139,58.8616060014321,6.0,43.58
2005-04-01,2067.60,10404.2998046875,100.056172317747,52.6042857142857,43.8628671366274,56.3618721036571,6.0,43.62
2005-05-01,1902.50,10192.509765625,100.095626979105,49.2854545454545,43.6970339905515,56.6971069251636,6.0,43.48
2005-06-01,2087.50,10549.8701171875,100.133082607278,54.8390909090909,43.8628671366274,57.686861606645,6.0,43.71
2005-07-01,2211.90,10303.4404296875,100.169020613632,57.6257142857143,44.6091162939879,56.5887738158148,6.0,43.45
2005-08-01,2318.00,10623.150390625,100.20479458416,63.9504347826087,44.7749494400638,58.0691749233111,6.0,43.37
2005-09-01,2405.70,10459.6298828125,100.241775178317,63.2613636363636,44.9407825861396,57.7789316872272,6.0,43.94
2005-10-01,2601.40,10568.7001953125,100.28048189978,58.9085714285714,45.4382820243672,59.0066676471356,6.0,43.94
2005-11-01,2386.70,10406.76953125,100.320935831136,55.4495454545455,45.8528648895378,58.1719943704729,6.0,45.02
2005-12-01,2698.90,10912.5703125,100.362979507681,57.1568181818182,45.6041151704048,60.2630268169676,6.0,45.97
2006-01-01,2836.50,10717.5,100.406564880476,63.3118181818182,45.521198597386,61.2522756922916,6.0,44.95
2006-02-01,2971.50,10953.9501953125,100.452054084344,60.8055,45.521198597386,61.5549832690078,6.0,44.13
2006-03-01,3123.10,11053.5302734375,100.500490836929,62.7469565217391,45.521198597386,62.7261728070781,6.0,44.35
2006-04-01,3402.50,11109.3203125,100.553841985057,70.34,45.9037296780363,62.039105340767,6.0,44.48
2006-05-01,3557.60,11343.2900390625,100.61411966003,70.51,46.2862607586866,62.7889946922818,6.0,44.77
2006-06-01,2962.20,11260.2802734375,100.68247054681,69.2327272727273,47.0513229199872,62.897123421711,6.0,46.19
2006-07-01,3128.20,11150.2197265625,100.758221601839,74.0409523809524,47.4338540006376,64.9978254255717,6.0,45.87
2006-08-01,3147.80,11125.73046875,100.839912213065,73.5004347826087,47.4338540006376,63.9127435140475,6.0,46.51
2006-09-01,3435.40,11464.150390625,100.92626125929,62.5271428571429,47.8163850812879,65.5337895925834,6.0,46.38
2006-10-01,3588.40,11679.0703125,101.017078946514,58.7581818181818,48.5814472425885,64.4233636832417,6.0,45.95
2006-11-01,3767.00,12031.01953125,101.112521479594,59.2227272727273,48.5814472425885,70.065362593496,6.0,44.79
2006-12-01,3997.60,12194.1298828125,101.212313850511,62.2604761904762,48.5814472425885,68.8468862322248,6.0,44.5
2007-01-01,3966.40,12463.150390625,101.314939469758,54.5030434782609,48.5814472425885,69.8091067298885,6.0,44.11
2007-02-01,4137.20,12673.6796875,101.418007396878,57.9695,48.9639783232388,70.2072235243747,6.0,44.01
2007-03-01,3811.20,12234.33984375,101.518588094043,62.3572727272727,48.5814472425885,71.706610686592,6.0,44.11
2007-04-01,3821.50,12354.349609375,101.613530431022,67.6904761904762,48.9639783232388,72.5837596000347,6.0,43.1
2007-05-01,4087.90,13136.1396484375,101.699559220958,67.7178260869565,49.3465094038891,74.7020691448143,6.0,41.0
2007-06-01,4297.00,13668.1103515625,101.773386229169,70.6190476190476,49.7290404845394,75.1570108653433,6.0,40.27
2007-07-01,4318.30,13408.6201171875,101.831850466876,76.1331818181818,50.49410264584,75.2671523523544,6.0,40.58
2007-08-01,4345.80,13362.3701171875,101.871375609535,71.3130434782609,50.8766337264903,75.4908544031742,6.0,40.25
2007-09-01,4464.00,13357.740234375,101.887495607769,76.772,50.8766337264903,74.4225009572738,6.0,40.63
2007-10-01,5068.90,14087.5498046875,101.874469279522,82.5073913043478,51.2591648071406,76.6976983092255,6.0,39.7
2007-11-01,5866.40,13567.8701171875,101.826775766902,92.7313636363636,51.2591648071406,77.30313534486,6.0,39.22
2007-12-01,5762.70,13371.7197265625,101.740715121403,91.5195238095238,51.2591648071406,78.4024051793753,6.0,39.52
2008-01-01,6144.30,13264.8203125,101.615413682311,92.0917391304348,51.2591648071406,79.2810438870462,6.0,39.41
2008-02-01,5317.20,12743.1904296875,101.452464187889,94.722380952381,51.6416958877909,79.2710125028936,6.0,39.12
2008-03-01,5223.50,12266.3896484375,101.255032156519,103.161904761905,52.4067580490915,80.1599729877355,6.0,39.96
2008-04-01,4739.50,12654.3603515625,101.027142848501,110.033181818182,52.7892891297418,79.951998458553,6.0,39.88
2008-05-01,5165.90,13010.0,100.773619970614,123.862272727273,53.1718202103921,80.1862923332719,6.0,40.58
2008-06-01,4870.10,12638.3203125,100.500168907405,132.760476190476,53.5543512910424,81.2729307168448,6.0,42.15
2008-07-01,3896.70,11382.259765625,100.213581270624,133.585217391304,54.7019445329933,79.2073038238764,6.0,43.23
2008-08-01,4413.50,11326.3203125,99.9218594491451,113.800476190476,55.4670066942939,80.1309649176726,6.0,42.26
2008-09-01,4348.60,11543.9599609375,99.634410612697,98.7554545454546,55.8495377749442,82.1551814362811,6.0,43.25
2008-10-01,3950.70,10831.0703125,99.3622767826799,71.9634782608696,56.6145999362448,79.6767479021745,6.0,46.47
2008-11-01,2885.60,9325.009765625,99.1175799744548,52.7135,56.6145999362448,78.960450805198,6.0,49.4
2008-12-01,2682.90,8149.08984375,98.912943189513,40.5117391304348,56.2320688555945,76.8918097933278,6.0,49.94
2009-01-01,3033.40,8776.3896484375,98.7608329215976,43.1745454545455,56.6145999362448,75.3752340529104,6.0,48.58
2009-02-01,2874.80,8000.85986328125,98.6706780026111,42.9105,56.6145999362448,76.2432549269574,6.0,48.83
2009-03-01,2763.60,7062.93017578125,98.6457662157388,46.5827272727273,56.6145999362448,75.6901222955016,6.0,50.88
2009-04-01,3060.30,7761.60009765625,98.681024044625,50.5190909090909,57.3796620975454,78.0591446485815,6.0,50.48
